One byte keycodes:

kRight            01
kLeft             02
kUp               03
kDown             04
kEnter            05
kAlphaEnter       06
kAlphaUp          07
kAlphaDown        08
kClear            09
kDel              0A
kIns              0B
kRecall           0C
kLastEnt          0D
kBOL              0E
kEOL              0F
kSelAll           10
kUnselAll         11
kLtoTI82          12
kBackup           13
kRecieve          14
kLnkQuit          15
kTrans            16
kRename           17
kOverw            18
kOmit             19
kCont             1A
kSendID           1B
kSendSW           1C
kYes              1D
kNoWay            1E
kvSendType        1F
kOverWAll         20
kNo               25
kKReset           26
kApp              27
kDoug             28
kListflag         29
kAreYouSure       2B
kAppsMenu         2C
kPrgm             2D
kZoom             2E
kDraw             2F
kSPlot            30
kStat             31
kMath             32
kTest             33
kChar             34
kVars             35
kMem              36
kMatrix           37
kDist             38
kAngle            39
kList             3A
kCalc             3B
kFin              3C
kCatalog          3E
kOff              3F
kQuit             40
kLinkIO           41
kMatrixEd         42
kStatEd           43
kGraph            44
kMode             45
kPrgmEd           46
kPrgmCr           47
kWindow           48
kYequ             49
kTable            4A
kTblSet           4B
kChkRAM           4C
kDelMem           4D
kResetMem         4E
kResetDef         4F
kPrgmInput        50
kZFactEd          51
kError            52
kSolveTVM         53
kSolveRoot        54
kStatP            55
kInfStat          56
kFormat           57
kExtApps          58
kNewApps          59
kTrace            5A
kZFit             5B
kZIn              5C
kZOut             5D
kZPrev            5E
kBox              5F
kDecml            60
kSetZm            61
kSquar            62
kStd              63
kTrig             64
kUsrZm            65
kZSto             66
kZInt             67
kZStat            68
kSelect           69
kCircl            6A
kClDrw            6B
kLine             6C
kPen              6D
kPtChg            6E
kPtOff            6F
kPtOn             70
kVert             71
kHoriz            72
kText             73
kTanLn            74
kEval             75
kInters           76
kDYDX             77
kFnIntg           78
kRootG            79
kDYDT             7A
kDXDT             7B
kDRDo             7C
KGFMin            7D
KGFMax            7E
kListName         7F
kAdd              80
kSub              81
kMul              82
kDiv              83
kExpon            84
kLParen           85
kRParen           86
kLBrack           87
kRBrack           88
kShade            89
kStore            8A
kComma            8B
kChs              8C
kDecPnt           8D
k0                8E
k1                8F
k2                90
k3                91
k4                92
k5                93
k6                94
k7                95
k8                96
k9                97
kEE               98
kSpace            99
kCapA             9A
kCapB             9B
kCapC             9C
kCapD             9D
kCapE             9E
kCapF             9F
kCapG             A0
kCapH             A1
kCapI             A2
kCapJ             A3
kCapK             A4
kCapL             A5
kCapM             A6
kCapN             A7
kCapO             A8
kCapP             A9
kCapQ             AA
kCapR             AB
kCapS             AC
kCapT             AD
kCapU             AE
kCapV             AF
kCapW             B0
kCapX             B1
kCapY             B2
kCapZ             B3
kVarx             B4
kPi               B5
kInv              B6
kSin              B7
kASin             B8
kCos              B9
kACos             BA
kTan              BB
kATan             BC
kSquare           BD
kSqrt             BE
kLn               BF
kExp              C0
kLog              C1
kALog             C2
kToABC            C3
kClrTbl           C4
kAns              C5
kColon            C6
kNDeriv           C7
kFnInt            C8
kRoot             C9
kQuest            CA
kQuote            CB
kTheta            CC
kIf               CD
kThen             CE
kElse             CF
kFor              D0
kWhile            D1
kRepeat           D2
kEnd              D3
kPause            D4
kLbl              D5
kGoto             D6
kISG              D7
kDSL              D8
kMenu             D9
kExec             DA
kReturn           DB
kStop             DC
kInput            DD
kPrompt           DE
kDisp             DF
kDispG            E0
kDispT            E1
kOutput           E2
kGetKey           E3
kClrHome          E4
kPrtScr           E5
kSinH             E6
kCosH             E7
kTanH             E8
kASinH            E9
kACosH            EA
kATanH            EB
kLBrace           EC
kRBrace           ED
kI                EE
kCONSTeA          EF
kPlot3            F0
kFMin             F1
kFMax             F2
kL1A              F3
kL2A              F4
kL3A              F5
kL4A              F6
kL5A              F7
kL6A              F8
kunA              F9
kvnA              FA
kwnA              FB

FE (ExtendEcho) prefixed keys:

kDrawInv          fe00
kDrawF            fe01
kPixelOn          fe02
kPixelOff         fe03
kPxlTest          fe04
kRCGDB            fe05
kRCPic            fe06
kSTGDB            fe07
kSTPic            fe08
kAbs              fe09
kTEqu             fe0a
kTNoteQ           fe0b
kTGT              fe0c
kTGTE             fe0d
kTLT              fe0e
kTLTE             fe0f
kAnd              fe10
kOr               fe11
kXor              fe12
kNot              fe13
kLR1              fe14
kXRoot            fe15
kCube             fe16
kCbRt             fe17
kToDec            fe18
kCubicR           fe19
kQuartR           fe1a
kPlot1            fe1b
kPlot2            fe1c
kRound            fe1d
kIPart            fe1e
kFPart            fe1f
kInt              fe20
kRand             fe21
kNPR              fe22
kNCR              fe23
kXFactorial       fe24
kRad              fe25
kDegr             fe26
kAPost            fe27
kToDMS            fe28
kRToPo            fe29
kRToPr            fe2a
kPToRx            fe2b
kPToRy            fe2c
kRowSwap          fe2d
kRowPlus          fe2e
kTimRow           fe2f
kTRowP            fe30
kSortA            fe31
kSortD            fe32
kSeq              fe33
kMin              fe34
kMax              fe35
kMean             fe36
kMedian           fe37
kSum              fe38
kProd             fe39
kDet              fe3a
kTransp           fe3b
kDim              fe3c
kFill             fe3d
kIdent            fe3e
kRandm            fe3f
kAug              fe40
kOneVar           fe41
kTwoVar           fe42
kLR               fe43
kLRExp            fe44
kLRLn             fe45
kLRPwr            fe46
kMedMed           fe47
kQuad             fe48
kClrLst           fe49
kHist             fe4a
kxyLine           fe4b
kScatter          fe4c
kmRad             fe4d
kmDeg             fe4e
kmNormF           fe4f
kmSci             fe50
kmEng             fe51
kmFloat           fe52
kFix              fe53
kSplitOn          fe54
kFullScreen       fe55
kStndrd           fe56
kParam            fe57
kPolar            fe58
kSeqG             fe59
kAFillOn          fe5a
kAFillOff         fe5b
kACalcOn          fe5c
kACalcOff         fe5d
kFNOn             fe5e
kFNOff            fe5f
kPlotsOn          fe60
kPlotsOff         fe61
kPixelChg         fe62
kSendMBL          fe63
kRecvMBL          fe64
kBoxPlot          fe65
kBoxIcon          fe66
kCrossIcon        fe67
kDotIcon          fe68
kSeqential        fe69
kSimulG           fe6a
kPolarG           fe6b
kRectG            fe6c
kCoordOn          fe6d
kCoordOff         fe6e
kDrawLine         fe6f
kDrawDot          fe70
kAxisOn           fe71
kAxisOff          fe72
kGridOn           fe73
kGridOff          fe74
kLblOn            fe75
kLblOff           fe76
kL1               fe77
kinfData          fe77
kL2               fe78
kinfStats         fe78
kL3               fe79
kinfYes           fe79
kL4               fe7a
kinfNo            fe7a
kL5               fe7b
kinfCalc          fe7b
kL6               fe7c
kinfDraw          fe7c
kMatA             fe7d
kinfAlt1ne        fe7d
kMatB             fe7e
kinfAlt1lt        fe7e
kMatC             fe7f
kinfAlt1gt        fe7f
kMatD             fe80
kinfAlt2ne        fe80
kMatE             fe81
kinfAlt2lt        fe81
kXmin             fe82
kinfAlt2gt        fe82
kXmax             fe83
kinfAlt3ne        fe83
kXscl             fe84
kinfAlt3lt        fe84
kYmin             fe85
kinfAlt3gt        fe85
kYmax             fe86
kinfAlt4ne        fe86
kYscl             fe87
kinfAlt4lt        fe87
kTmin             fe88
kinfAlt4gt        fe88
kTmax             fe89
kinfAlt5ne        fe89
kTStep            fe8a
kinfAlt5lt        fe8a
kOmin             fe8b
kinfAlt5gt        fe8b
kOmax             fe8c
kinfAlt6ne        fe8c
kOStep            fe8d
kinfAlt6lt        fe8d
kinfAlt6gt        fe8e
ku0               fe8e
kv0               fe8f
knMin             fe90
knMax             fe91
kDeltaY           fe92
kDeltaX           fe93
kZXmin            fe94
kZXmax            fe95
kZXscl            fe96
kZYmin            fe97
kZYmax            fe98
kZYscl            fe99
kZTmin            fe9a
kZTmax            fe9b
kZTStep           fe9c
kZOmin            fe9d
kZOmax            fe9e
kZOStep           fe9f
kZu0              fea0
kZv0              fea1
kZnMin            fea2
kZnMax            fea3
kDelLast          fea4
kSinReg           fea5
kConstE           fea6
kPic1             fea7
kPic2             fea8
kPic3             fea9
kDelVar           feaa
kGetCalc          feab
kRealM            feac
kPolarM           fead
kRectM            feae
kuv               feaf
kvw               feb0
kuw               feb1
kFinPMTend        feb2
kFinPMTbeg        feb3
kGraphStyle       feb4
kExprOn           feb5
